bssid,gps_text
60:83:e7:4b:34:bb,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
50:04:b8:21:36:7c,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
c8:f6:c8:da:83:e6,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
1e:c3:ab:3d:60:b1,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
64:20:e3:a6:81:8e,Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m
60:83:e7:4b:31:e0,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
d4:4f:67:12:0b:54,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
d4:4f:67:12:0b:57,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
e0:19:54:97:ea:b7,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
98:25:4a:53:13:a7,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
60:83:e7:4b:31:e1,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
92:d8:1b:f3:9b:cb,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
f8:2e:3f:1c:6b:a4,Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m
ba:25:4a:53:13:a7,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
48:d6:82:be:18:6f,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
aa:ba:70:0d:3f:ab,Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m
a4:ba:70:0d:3f:ab,Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m
aa:fa:dc:fc:de:90,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
10:c3:ab:3d:60:ac,Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m
a0:09:2e:2d:8f:b0,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
66:20:e0:47:59:39,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
9c:52:f8:7f:bc:58,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
94:b2:71:be:b0:98,Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m
94:b2:71:be:b0:9b,Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m
